Group	Strains	Similarity	Accession	Genus_Species	Taxon
D6	D619005A	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D619005B	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D619007B	100.00	AM072764	Exiguobacterium mexicanum	Firmicutes;Bacilli;Bacillales;Exiguobacterium_f;Exiguobacterium;Exiguobacterium mexicanum
D6	D619011B	99.10	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D6	D619013B	100.00	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D619018C	99.10	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D6	D619026B	99.37	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D6	D619028C	100.00	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D620003A	99.24	FM210033	Shewanella chilikensis	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D621002A	98.74	BATL01000140	Vibrio azureus	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D6	D621002B	98.73	BATL01000140	Vibrio azureus	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D6	D621003B	98.72	BATL01000140	Vibrio azureus	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D6	D621007A	98.61	BATL01000140	Vibrio azureus	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D6	D621008B	99.62	DQ458821	Marinobacter pelagius	Proteobacteria;Gammaproteobacteria;Alteromonadales;Marinobacter_f;Marinobacter;Marinobacter pelagius
D6	D621011B	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D622001B	98.97	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D622003A	99.87	jgi.1058078	Cohaesibacter marisflavi	Proteobacteria;Alphaproteobacteria;Rhizobiales;Cohaesibacteraceae
D6	D622003B	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D622004A	98.86	CP006718	Vibrio alginolyticus	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D6	D622004C	98.97	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D622008B	99.49	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D622008C	99.09	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D623001A	100.00	AM072764	Exiguobacterium mexicanum	Firmicutes;Bacilli;Bacillales;Exiguobacterium_f;Exiguobacterium;Exiguobacterium mexicanum
D6	D623001C	99.87	AM072764	Exiguobacterium mexicanum	Firmicutes;Bacilli;Bacillales;Exiguobacterium_f;Exiguobacterium;Exiguobacterium mexicanum
D6	D623004A	99.74	AM072764	Exiguobacterium mexicanum	Firmicutes;Bacilli;Bacillales;Exiguobacterium_f;Exiguobacterium;Exiguobacterium mexicanum
D6	D623005A	99.87	AM072764	Exiguobacterium mexicanum	Firmicutes;Bacilli;Bacillales;Exiguobacterium_f;Exiguobacterium;Exiguobacterium mexicanum
D6	D623006A	98.74	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D6	D623006B	98.57	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D6	D623007B	99.87	AM072764	Exiguobacterium mexicanum	Firmicutes;Bacilli;Bacillales;Exiguobacterium_f;Exiguobacterium;Exiguobacterium mexicanum
D6	D623007C	99.49	AM072764	Exiguobacterium mexicanum	Firmicutes;Bacilli;Bacillales;Exiguobacterium_f;Exiguobacterium;Exiguobacterium mexicanum
D6	D623009A	98.83	FM210033	Shewanella chilikensis	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D623009B	98.72	FM210033	Shewanella chilikensis	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D623011B	98.72	FM210033	Shewanella chilikensis	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D624003B	98.72	MF164482	Shewanella carassii	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D624005A	99.74	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D6	D624007A	99.10	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D624007B	99.23	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D625001A	99.61	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D625003A	99.74	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D625003B	99.62	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D625006A	99.74	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D625009A	99.74	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D625009B	99.61	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D625011A	99.62	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D625013A	99.49	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D625013B	99.62	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D625015B	99.87	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D625019B	100.00	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D6	D625021B	99.61	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D626004B	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D626005B	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D626007C	97.92	KC169813	Shimia biformata	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D6	D626011B	98.71	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D6	D626015B	99.87	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D627002C	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D627009A	100.00	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D6	D627017A	99.75	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D627018B	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D627018C	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D627019C	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D627020A	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D627020B	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D627020C	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D627024A	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D628001A	99.87	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D628002A	99.36	MF407345	Trichococcus alkaliphilus	Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae
D6	D628008A	99.87	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D628009A	99.49	EU512919	Marivita cryptomonadis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D6	D628009B	99.87	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D628010A	100.00	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D6	D628010B	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D628011B	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D629001A	99.62	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D629008A	99.62	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D629012A	99.61	AJ306612	Trichococcus collinsii	Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae
D6	D630003A	99.22	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D6	D630007A	99.23	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D6	D630008A	99.87	ATWU01000093	Vibrio natriegens	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D6	D630009A	99.61	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D6	D632001A	99.87	AM072764	Exiguobacterium mexicanum	Firmicutes;Bacilli;Bacillales;Exiguobacterium_f;Exiguobacterium;Exiguobacterium mexicanum
D6	D632001B	99.87	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D632004B	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D632004C	100.00	AM072764	Exiguobacterium mexicanum	Firmicutes;Bacilli;Bacillales;Exiguobacterium_f;Exiguobacterium;Exiguobacterium mexicanum
D6	D632005B	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D632011B	99.50	AM072764	Exiguobacterium mexicanum	Firmicutes;Bacilli;Bacillales;Exiguobacterium_f;Exiguobacterium;Exiguobacterium mexicanum
D6	D633014C	99.37	FJ573217	Halarcobacter bivalviorum	Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae
D6	D634001A	97.92	AJ315682	Roseicyclus mahoneyensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D6	D634001B	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D634002B	96.50	CP006718	Vibrio alginolyticus	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D6	D634003A	96.87	CP006718	Vibrio alginolyticus	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D6	D634004B	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D634010C	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D634013A	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D634013C	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D634017A	99.36	AJ306612	Trichococcus collinsii	Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae
D6	D634020B	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D634029C	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D634030B	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D634030C	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D634031B	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D634031C	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D634033B	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D634033C	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D634036B	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D635007A	98.82	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D6	D635007B	99.35	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D6	D635012A	99.49	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D635018A	99.61	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D635018C	99.49	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D635019B	98.99	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D6	D635024B	99.48	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D635024C	99.50	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D635026C	99.61	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D635028A	99.49	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D635028B	100.00	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D6	D636010A	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D637006B	100.00	AM072764	Exiguobacterium mexicanum	Firmicutes;Bacilli;Bacillales;Exiguobacterium_f;Exiguobacterium;Exiguobacterium mexicanum
D6	D637008A	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D637009A	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D637009B	99.87	AM072764	Exiguobacterium mexicanum	Firmicutes;Bacilli;Bacillales;Exiguobacterium_f;Exiguobacterium;Exiguobacterium mexicanum
D6	D637011B	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D638011A	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D639007A	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D639008A	99.87	AM229317	Halomonas denitrificans	Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae
D6	D639015B	99.62	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D639017A	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D639017B	100.00	RCCP01000013	Planococcus citreus	Firmicutes;Bacilli;Bacillales;Planococcaceae
D6	D639018A	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D640002A	100.00	AF297958	Pseudoalteromonas flavipulchra	Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae
D6	D640002B	100.00	AF297958	Pseudoalteromonas flavipulchra	Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae
D6	D640005B	100.00	AF297958	Pseudoalteromonas flavipulchra	Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae
D6	D640008A	99.12	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D6	D640008B	100.00	KP265300	Fictibacillus halophilus	Firmicutes;Bacilli;Bacillales;Bacillaceae
D6	D640009A	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D640010A	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D6	D640010B	100.00	AF297958	Pseudoalteromonas flavipulchra	Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae
D7	D701007	99.74	JNIQ01000001	Exiguobacterium aurantiacum	Firmicutes;Bacilli;Bacillales;Exiguobacterium_f;Exiguobacterium;Exiguobacterium aurantiacum
D7	D701017	99.74	JNIQ01000001	Exiguobacterium aurantiacum	Firmicutes;Bacilli;Bacillales;Exiguobacterium_f;Exiguobacterium;Exiguobacterium aurantiacum
D7	D702003	98.83	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D7	D702005	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D7	D702006	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D7	D702010	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D7	D702011	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D7	D702012	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D7	D702014	99.72	HE582778	Catenococcus thiocycli	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D7	D702017	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D7	D702020	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D7	D703002	99.87	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D7	D703009	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D7	D704004	99.74	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D7	D704006	99.74	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D7	D704009	99.48	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D7	D704011	98.31	FWFN01000016	Pseudooceanicola marinus	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D7	D704012	98.30	FWFN01000016	Pseudooceanicola marinus	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D7	D704015	99.74	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D7	D705001	99.87	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D7	D705003	99.87	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D7	D705004	99.22	KP214057	Mangrovibacterium marinum	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D7	D705005	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D7	D705006	99.61	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D7	D705009	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D7	D705011	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D7	D706004	99.48	AJ306612	Trichococcus collinsii	Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae
D7	D706017	98.07	jgi.1108014	Lentibacter algarum	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D7	D706019	99.47	AJ306612	Trichococcus collinsii	Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae
D7	D706022	99.48	AJ306612	Trichococcus collinsii	Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae
D7	D706024	98.05	jgi.1108014	Lentibacter algarum	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D7	D707002	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D7	D707003	99.60	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D7	D707004	99.87	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D7	D708007	98.69	BAZX01000063	Marinifilum fragile	Bacteroidetes;Bacteroidia;Marinilabiliales;Marinifilaceae
D7	D708008	98.96	BAZX01000063	Marinifilum fragile	Bacteroidetes;Bacteroidia;Marinilabiliales;Marinifilaceae
D7	D708012	98.56	EU399548	Marinobacterium maritimum	Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae
D7	D708014	100.00	AM072764	Exiguobacterium mexicanum	Firmicutes;Bacilli;Bacillales;Exiguobacterium_f;Exiguobacterium;Exiguobacterium mexicanum
D7	D708017	98.56	EU399548	Marinobacterium maritimum	Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae
D7	D708018	100.00	AM072764	Exiguobacterium mexicanum	Firmicutes;Bacilli;Bacillales;Exiguobacterium_f;Exiguobacterium;Exiguobacterium mexicanum
D7	D709001	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D7	D709002	100.00	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D7	D709003	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D7	D709015	100.00	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D7	D710002	99.87	JNIQ01000001	Exiguobacterium aurantiacum	Firmicutes;Bacilli;Bacillales;Exiguobacterium_f;Exiguobacterium;Exiguobacterium aurantiacum
D7	D711001	99.37	KP214057	Mangrovibacterium marinum	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D7	D711002	99.61	LHPJ01000025	Vibrio nereis	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D7	D711005	99.36	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D7	D711006	99.61	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D7	D711009	99.36	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D7	D711011	99.36	KP214057	Mangrovibacterium marinum	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D7	D712001	98.97	BAZX01000063	Marinifilum fragile	Bacteroidetes;Bacteroidia;Marinilabiliales;Marinifilaceae
D7	D712006	99.62	DQ917760	Marinobacterium litorale	Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae
D7	D712010	99.62	jgi.1085777	Yoonia rosea	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D7	D712013	99.12	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D7	D712015	99.62	DQ917760	Marinobacterium litorale	Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae
D7	D712016	98.97	BAZX01000063	Marinifilum fragile	Bacteroidetes;Bacteroidia;Marinilabiliales;Marinifilaceae
D7	D712019	99.62	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D7	D712020	99.74	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D7	D713001	99.61	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D7	D713002	99.61	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D7	D713003	99.62	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D7	D713004	100.00	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D7	D713005	99.62	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D7	D713006	99.62	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D7	D713007	99.62	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D7	D713008	99.62	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D7	D713009	100.00	AM072764	Exiguobacterium mexicanum	Firmicutes;Bacilli;Bacillales;Exiguobacterium_f;Exiguobacterium;Exiguobacterium mexicanum
D7	D713010	99.74	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D7	D713011	100.00	AM072764	Exiguobacterium mexicanum	Firmicutes;Bacilli;Bacillales;Exiguobacterium_f;Exiguobacterium;Exiguobacterium mexicanum
D7	D713012	98.84	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D7	D713013	99.62	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D7	D713014	99.61	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D7	D713015	99.62	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
